sport,event,year,num_athletes,num_countries,medals_awarded,medal_rate
Athletics,"Athletics Men's 1,500 metres",1920,29,12,29,1.0
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2008,67,15,67,1.0
Boxing,Boxing Men's Flyweight,1964,28,28,28,1.0
Athletics,Athletics Men's Triple Jump,1996,43,32,43,1.0
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",2004,22,22,22,1.0
Taekwondo,Taekwondo Women's Featherweight,2008,15,15,15,1.0
Shooting,"Shooting Men's Air Pistol, 10 metres",2012,44,33,44,1.0
Rowing,Rowing Men's Lightweight Double Sculls,2012,40,19,40,1.0
Sailing,Sailing Mixed Two Person Keelboat,1988,43,21,43,1.0
Boxing,Boxing Men's Light-Flyweight,2008,29,29,29,1.0
Shooting,"Shooting Women's Air Pistol, 10 metres",2000,45,32,45,1.0
Football,Football Men's Football,1960,235,16,235,1.0
Luge,Luge Women's Singles,1964,17,7,17,1.0
Gymnastics,Gymnastics Men's Rings,2012,68,31,68,1.0
Fencing,"Fencing Women's epee, Individual",2004,38,20,38,1.0
Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",2006,28,16,28,1.0
Shooting,"Shooting Women's Air Rifle, 10 metres",2012,56,41,56,1.0
Athletics,Athletics Men's 200 metres,1968,50,37,50,1.0
Gymnastics,Gymnastics Women's Balance Beam,2012,83,45,83,1.0
Shooting,"Shooting Mixed Free Pistol, 50 metres",1972,59,35,59,1.0
Fencing,"Fencing Men's Foil, Individual",1900,54,10,54,1.0
Athletics,Athletics Women's 200 metres,2016,72,49,72,1.0
Fencing,"Fencing Men's Sabre, Team",2012,31,8,31,1.0
Cycling,Cycling Men's Keirin,2008,25,16,25,1.0
Equestrianism,"Equestrianism Men's Jumping, Team",1924,43,11,43,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,2004,65,16,65,1.0
Gymnastics,Gymnastics Men's Horse Vault,2008,16,13,16,1.0
Swimming,Swimming Women's 200 metres Individual Medley,1972,44,25,44,1.0
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",1996,19,19,19,1.0
Swimming,Swimming Women's 100 metres Breaststroke,1968,33,20,33,1.0
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1976,17,17,17,1.0
Weightlifting,Weightlifting Men's Bantamweight,1968,20,19,20,1.0
Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",1988,15,15,15,1.0
Nordic Combined,Nordic Combined Men's Individual,1976,34,13,34,1.0
Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",1948,6,6,6,1.0
Cycling,Cycling Men's 100 kilometres,1908,43,11,43,1.0
Water Polo,Water Polo Men's Water Polo,2000,153,12,153,1.0
Judo,Judo Men's Half-Heavyweight,2000,33,33,33,1.0
Tennis,Tennis Men's Singles,1912,49,12,49,1.0
Swimming,"Swimming Men's 1,500 metres Freestyle",2016,45,32,45,1.0
Shooting,Shooting Mixed Skeet,1968,52,30,52,1.0
Freestyle Skiing,Freestyle Skiing Women's Slopestyle,2014,22,15,22,1.0
Tennis,Tennis Men's Doubles,2008,64,24,64,1.0
Gymnastics,Gymnastics Men's Rings,1972,111,25,111,1.0
Gymnastics,Gymnastics Men's Pommelled Horse,1964,128,29,128,1.0
Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,2002,60,23,60,1.0
Wrestling,"Wrestling Men's Middleweight, Freestyle",1976,18,18,18,1.0
Archery,Archery Men's Double York Round,1904,16,1,16,1.0
Athletics,"Athletics Men's 1,500 metres",1896,8,5,8,1.0
Bobsleigh,Bobsleigh Men's Two,1952,36,9,36,1.0
Athletics,"Athletics Men's 5,000 metres",2008,39,24,39,1.0
Wrestling,"Wrestling Women's Lightweight, Freestyle",2004,12,12,12,1.0
Swimming,Swimming Women's 100 metres Freestyle,1984,45,29,45,1.0
Athletics,Athletics Men's High Jump,2012,35,27,35,1.0
Athletics,Athletics Men's 400 metres Hurdles,1920,19,9,19,1.0
Fencing,"Fencing Women's Sabre, Individual",2008,39,20,39,1.0
Gymnastics,Gymnastics Women's Floor Exercise,1984,65,16,65,1.0
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",2016,19,19,19,1.0
Weightlifting,Weightlifting Men's Middleweight,1992,34,27,34,1.0
Archery,Archery Men's Double York Round,1908,27,3,27,1.0
Canoeing,"Canoeing Men's Canadian Singles, Slalom",1972,22,8,22,1.0
Athletics,Athletics Women's 800 metres,1928,25,13,25,1.0
Snowboarding,Snowboarding Women's Halfpipe,2002,23,12,23,1.0
Judo,Judo Women's Extra-Lightweight,2008,23,23,23,1.0
Canoeing,"Canoeing Men's Kayak Singles, Slalom",1972,37,14,37,1.0
Nordic Combined,Nordic Combined Men's Individual,1932,33,10,33,1.0
Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",1976,15,14,15,1.0
Swimming,Swimming Men's 200 metres Freestyle,2012,40,31,40,1.0
Swimming,Swimming Men's 100 metres Butterfly,1992,69,47,69,1.0
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,1984,52,14,52,1.0
Rowing,Rowing Men's Lightweight Double Sculls,2004,43,20,43,1.0
Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",1972,28,13,28,1.0
Table Tennis,Table Tennis Men's Doubles,1992,60,23,60,1.0
Speed Skating,"Speed Skating Women's 3,000 metres",2010,28,13,28,1.0
Swimming,Swimming Women's 100 metres Freestyle,1948,34,14,34,1.0
Athletics,Athletics Men's High Jump,1996,37,27,37,1.0
Softball,Softball Women's Softball,2000,120,8,120,1.0
Alpine Skiing,Alpine Skiing Women's Giant Slalom,1972,42,13,42,1.0
Athletics,Athletics Women's Shot Put,2000,25,18,25,1.0
Swimming,Swimming Men's 100 metres Freestyle,1980,39,26,39,1.0
Sailing,Sailing Men's Windsurfer,2016,36,35,36,1.0
Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1936,14,14,14,1.0
Tug-Of-War,Tug-Of-War Men's Tug-Of-War,1912,16,2,16,1.0
Athletics,Athletics Women's Long Jump,1960,30,18,30,1.0
Swimming,Swimming Women's 100 metres Backstroke,1988,41,28,41,1.0
Equestrianism,"Equestrianism Mixed Dressage, Team",1980,12,4,12,1.0
Wrestling,"Wrestling Men's Bantamweight, Freestyle",1992,18,18,18,1.0
Equestrianism,"Equestrianism Men's Dressage, Individual",1932,10,4,10,1.0
Boxing,Boxing Men's Light-Heavyweight,2000,28,28,28,1.0
Fencing,"Fencing Women's Foil, Team",1980,45,9,45,1.0
Diving,Diving Men's Springboard,1908,23,8,23,1.0
Cycling,Cycling Men's Points Race,1984,43,25,43,1.0
Taekwondo,Taekwondo Women's Heavyweight,2008,16,16,16,1.0
Canoeing,"Canoeing Men's Canadian Singles, Slalom",2016,19,19,19,1.0
Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",1984,55,30,55,1.0
Athletics,Athletics Women's 80 metres Hurdles,1956,22,11,22,1.0
Equestrianism,"Equestrianism Mixed Jumping, Team",1992,74,19,74,1.0
Athletics,Athletics Women's Marathon,1988,70,38,70,1.0
Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",1992,36,21,36,1.0
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,1976,44,13,44,1.0
Handball,Handball Men's Handball,2016,177,12,177,1.0
Swimming,Swimming Men's 200 metres Breaststroke,1912,24,11,24,1.0
Hockey,Hockey Men's Hockey,1960,236,16,236,1.0
Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,1994,55,17,55,1.0
Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",1998,34,8,34,1.0
Gymnastics,Gymnastics Women's Individual All-Around,2012,60,41,60,1.0
Hockey,Hockey Men's Hockey,1972,263,16,263,1.0
Volleyball,Volleyball Women's Volleyball,2016,142,12,142,1.0
Athletics,Athletics Men's Decathlon,2012,31,25,31,1.0
Athletics,"Athletics Men's 10,000 metres",1960,33,20,33,1.0
Fencing,"Fencing Men's Sabre, Individual",1956,35,17,35,1.0
Biathlon,Biathlon Women's 7.5 kilometres Sprint,1998,64,24,64,1.0
Cycling,Cycling Men's 100 kilometres Team Time Trial,1984,104,25,104,1.0
Alpine Skiing,Alpine Skiing Men's Combined,2006,59,27,59,1.0
Speed Skating,Speed Skating Women's 500 metres,1998,38,14,38,1.0
Equestrianism,"Equestrianism Men's Dressage, Individual",1924,24,9,24,1.0
Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,1998,71,27,71,1.0
Skeleton,Skeleton Men's Skeleton,2006,27,19,27,1.0
Wrestling,"Wrestling Men's Featherweight, Freestyle",1988,28,27,28,1.0
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",1968,49,12,49,1.0
Athletics,Athletics Men's Decathlon,1976,28,14,28,1.0
Weightlifting,Weightlifting Men's Lightweight,2004,17,16,17,1.0
Wrestling,"Wrestling Women's Middleweight, Freestyle",2008,17,17,17,1.0
Bobsleigh,Bobsleigh Men's Four/Five,1924,39,5,39,1.0
Speed Skating,"Speed Skating Women's 1,500 metres",1976,26,12,26,1.0
Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,1968,24,7,24,1.0
Judo,Judo Men's Middleweight,2000,32,32,32,1.0
Athletics,"Athletics Women's 1,500 metres",1988,28,18,28,1.0
Freestyle Skiing,Freestyle Skiing Women's Moguls,1994,24,13,24,1.0
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,1924,33,11,33,1.0
Speed Skating,"Speed Skating Men's 1,500 metres",1952,39,13,39,1.0
Canoeing,"Canoeing Men's Canadian Singles, Slalom",1992,31,15,31,1.0
Gymnastics,Gymnastics Women's Team Portable Apparatus,1956,54,9,54,1.0
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,1948,46,11,46,1.0
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2002,78,39,78,1.0
Volleyball,Volleyball Men's Volleyball,2012,144,12,144,1.0
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,1976,60,14,60,1.0
Sailing,Sailing Men's Two Person Dinghy,2000,58,29,58,1.0
Sailing,Sailing Mixed Three Person Keelboat,1964,70,23,70,1.0
Figure Skating,Figure Skating Mixed Pairs,1936,36,12,36,1.0
Athletics,"Athletics Women's 10,000 metres",2008,31,17,31,1.0
Rowing,Rowing Men's Coxed Eights,1960,127,14,127,1.0
Boxing,Boxing Men's Lightweight,1952,27,27,27,1.0
Canoeing,"Canoeing Men's Canadian Doubles, Slalom",1996,30,10,30,1.0
Art Competitions,Art Competitions Mixed Music,1912,5,4,5,1.0
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",1968,21,20,21,1.0
Athletics,Athletics Men's High Jump,1920,22,9,22,1.0
Athletics,Athletics Men's Javelin Throw,1964,25,15,25,1.0
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,2000,60,10,60,1.0
Athletics,Athletics Men's Triple Jump,1968,34,23,34,1.0
Luge,Luge Men's Singles,2006,36,19,36,1.0
Swimming,Swimming Women's 400 metres Freestyle,2012,35,27,35,1.0
Cycling,Cycling Men's 50 kilometres,1920,31,10,31,1.0
Diving,Diving Men's Platform,1980,23,14,23,1.0
Swimming,Swimming Men's 400 metres Individual Medley,1980,24,15,24,1.0
Gymnastics,Gymnastics Men's Side Horse,1904,3,1,3,1.0
Taekwondo,Taekwondo Women's Heavyweight,2012,16,16,16,1.0
Rowing,Rowing Men's Coxless Pairs,2004,26,13,26,1.0
Biathlon,Biathlon Men's 10 kilometres Sprint,2010,88,32,88,1.0
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1968,23,23,23,1.0
Ice Hockey,Ice Hockey Men's Ice Hockey,2006,282,12,282,1.0
Boxing,Boxing Men's Welterweight,1948,26,26,26,1.0
Swimming,Swimming Men's 100 metres Butterfly,2016,43,32,43,1.0
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1996,20,20,20,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1924,66,19,66,1.0
Swimming,Swimming Women's 50 metres Freestyle,2012,73,65,73,1.0
Judo,Judo Men's Lightweight,1980,30,30,30,1.0
Canoeing,"Canoeing Women's Kayak Singles, 200 metres",2012,29,29,29,1.0
Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",1932,10,7,10,1.0
Judo,Judo Men's Lightweight,2008,32,32,32,1.0
Swimming,Swimming Women's 200 metres Butterfly,1972,24,17,24,1.0
Equestrianism,"Equestrianism Men's Three-Day Event, Team",1912,27,7,27,1.0
Weightlifting,Weightlifting Men's Super-Heavyweight,2004,17,15,17,1.0
Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",1976,18,17,18,1.0
Swimming,Swimming Men's 100 metres Backstroke,1996,50,43,50,1.0
Fencing,"Fencing Men's Foil, Individual",1904,9,4,9,1.0
Athletics,"Athletics Men's 1,500 metres",1968,54,37,54,1.0
Athletics,Athletics Women's 4 x 100 metres Relay,1964,60,15,60,1.0
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2006,61,22,61,1.0
Freestyle Skiing,Freestyle Skiing Women's Aerials,1998,24,12,24,1.0
Swimming,Swimming Women's 200 metres Backstroke,2008,34,24,34,1.0
Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1952,19,18,19,1.0
Art Competitions,Art Competitions Mixed Music,1932,39,14,39,1.0
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,1972,67,13,67,1.0
Fencing,"Fencing Women's Foil, Individual",2016,35,26,35,1.0
Athletics,Athletics Men's 110 metres Hurdles,1936,31,20,31,1.0
Fencing,"Fencing Women's Foil, Individual",1932,17,11,17,1.0
Athletics,Athletics Men's Hammer Throw,1984,23,13,23,1.0
Wrestling,"Wrestling Men's Welterweight, Freestyle",1932,9,9,9,1.0
Diving,Diving Men's Springboard,1928,23,15,23,1.0
Athletics,Athletics Men's 4 x 400 metres Relay,1924,28,7,28,1.0
Athletics,Athletics Women's 800 metres,1984,25,20,25,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1912,33,8,33,1.0
Weightlifting,Weightlifting Men's Heavyweight,1920,6,5,6,1.0
Taekwondo,Taekwondo Men's Heavyweight,2004,16,16,16,1.0
Speed Skating,"Speed Skating Men's 10,000 metres",2006,16,8,16,1.0
Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",1998,33,8,33,1.0
Weightlifting,Weightlifting Women's Flyweight,2000,12,9,12,1.0
Boxing,Boxing Men's Light-Heavyweight,1960,19,19,19,1.0
Gymnastics,Gymnastics Women's Horse Vault,1988,90,22,90,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",1912,24,6,24,1.0
Gymnastics,Gymnastics Men's Horse Vault,1968,116,27,116,1.0
Athletics,Athletics Men's 200 metres,1956,67,32,67,1.0
Boxing,Boxing Men's Welterweight,2008,29,29,29,1.0
Boxing,Boxing Men's Lightweight,1956,18,18,18,1.0
Boxing,Boxing Men's Middleweight,1960,25,25,25,1.0
Rowing,Rowing Men's Coxed Eights,1932,72,8,72,1.0
Tennis,Tennis Men's Singles,2008,64,33,64,1.0
Speed Skating,Speed Skating Men's Team Pursuit (8 laps),2010,29,8,29,1.0
Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",1968,16,15,16,1.0
Speed Skating,Speed Skating Women's Team Pursuit (6 laps),2010,28,8,28,1.0
Athletics,"Athletics Women's 10,000 metres",1988,34,20,34,1.0
Gymnastics,Gymnastics Women's Uneven Bars,2000,84,31,84,1.0
Diving,Diving Men's Springboard,1936,24,15,24,1.0
Athletics,"Athletics Men's 1,500 metres",2000,41,26,41,1.0
Rowing,Rowing Men's Coxed Pairs,1932,12,4,12,1.0
Alpine Skiing,Alpine Skiing Men's Slalom,1994,57,25,57,1.0
Athletics,Athletics Men's Javelin Throw,2016,37,23,37,1.0
Athletics,Athletics Women's Marathon,1996,88,53,88,1.0
Baseball,Baseball Men's Baseball,2008,191,8,191,1.0
Athletics,"Athletics Men's 1,500 metres",1906,20,9,20,1.0
Athletics,Athletics Women's High Jump,2000,38,27,38,1.0
Gymnastics,Gymnastics Women's Floor Exercise,1992,92,24,92,1.0
Taekwondo,Taekwondo Women's Welterweight,2012,16,16,16,1.0
Tennis,Tennis Men's Doubles,1912,42,10,42,1.0
Cycling,Cycling Women's Individual Time Trial,1996,24,16,24,1.0
Judo,Judo Men's Extra-Lightweight,2012,37,37,37,1.0
Athletics,Athletics Women's Discus Throw,2004,42,27,42,1.0
Diving,Diving Men's Springboard,2000,49,34,49,1.0
Wrestling,"Wrestling Men's Lightweight, Freestyle",1988,30,30,30,1.0
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2004,72,16,72,1.0
Boxing,Boxing Men's Light-Welterweight,1984,37,37,37,1.0
Fencing,"Fencing Men's Foil, Team",1952,77,14,77,1.0
Rowing,Rowing Men's Coxed Eights,2008,75,8,75,1.0
Swimming,Swimming Women's 200 metres Individual Medley,1968,39,25,39,1.0
Wrestling,"Wrestling Men's Featherweight, Freestyle",2008,19,19,19,1.0
Biathlon,Biathlon Men's 20 kilometres,1968,60,15,60,1.0
Sailing,Sailing Mixed 12 metres,1920,18,1,18,1.0
Boxing,Boxing Men's Light-Middleweight,2000,28,28,28,1.0
Canoeing,"Canoeing Women's Kayak Singles, 500 metres",1964,13,13,13,1.0
Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1948,16,16,16,1.0
Taekwondo,Taekwondo Women's Welterweight,2000,12,12,12,1.0
Swimming,Swimming Women's 4 x 100 metres Medley Relay,1964,43,9,43,1.0
Boxing,Boxing Men's Flyweight,1920,16,9,16,1.0
Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",1948,12,7,14,1.1667
Gymnastics,Gymnastics Men's Team All-Around,1948,123,16,123,1.0
Trampolining,Trampolining Women's Individual,2000,12,12,12,1.0
Wrestling,"Wrestling Men's Flyweight, Freestyle",1968,23,23,23,1.0
Luge,Luge Mixed (Men)'s Doubles,2014,38,12,38,1.0
Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",1912,91,12,91,1.0
Swimming,Swimming Women's 100 metres Butterfly,1988,40,26,40,1.0
Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",1952,32,18,32,1.0
Speed Skating,"Speed Skating Women's 1,500 metres",1964,30,14,30,1.0
Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",1988,72,17,72,1.0
Athletics,Athletics Men's 50 kilometres Walk,2004,54,29,54,1.0
Athletics,"Athletics Men's 5,000 metres",1984,56,40,56,1.0
Wrestling,"Wrestling Men's Flyweight, Freestyle",1964,22,22,22,1.0
Biathlon,Biathlon Men's 20 kilometres,1980,49,17,49,1.0
Biathlon,Biathlon Men's 15 kilometres Mass Start,2006,30,14,30,1.0
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014,30,13,30,1.0
Bobsleigh,Bobsleigh Men's Two,1992,92,25,92,1.0
Gymnastics,Gymnastics Men's Rings,1956,63,18,63,1.0
Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",2008,32,16,32,1.0
Table Tennis,Table Tennis Men's Team,2016,48,15,48,1.0
Sailing,Sailing Women's Three Person Keelboat,2012,36,12,36,1.0
Swimming,Swimming Women's 50 metres Freestyle,1992,50,34,50,1.0
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1960,18,18,18,1.0
Rowing,Rowing Men's Coxed Eights,1996,90,10,90,1.0
Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",2004,17,14,17,1.0
Gymnastics,Gymnastics Women's Horse Vault,1968,101,23,101,1.0
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",1992,16,16,16,1.0
Swimming,Swimming Women's 100 metres Freestyle,1920,19,9,19,1.0
Rowing,Rowing Men's Coxless Fours,1908,16,3,16,1.0
Athletics,Athletics Men's Pole Vault,2016,31,16,31,1.0
Rowing,Rowing Women's Coxed Eights,1976,72,7,72,1.0
Speed Skating,"Speed Skating Men's 5,000 metres",1972,28,14,28,1.0
Athletics,Athletics Men's Discus Throw,1952,32,20,32,1.0
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1936,19,19,19,1.0
Diving,Diving Men's Springboard,1920,14,9,14,1.0
Wrestling,"Wrestling Men's Middleweight, Greco-Roman",1948,13,13,13,1.0
Cycling,Cycling Men's 5 mile,1904,9,1,9,1.0
Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",1932,7,7,7,1.0
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",1984,20,10,20,1.0
Weightlifting,Weightlifting Women's Middleweight,2012,10,10,10,1.0
Tennis,Tennis Men's Singles,2004,64,32,64,1.0
Archery,Archery Men's Team,1988,66,22,66,1.0
Athletics,Athletics Men's 100 metres,1968,65,41,65,1.0
Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",2012,26,13,26,1.0
Speed Skating,Speed Skating Men's 500 metres,1976,29,15,29,1.0
Canoeing,"Canoeing Men's Kayak Singles, Slalom",2004,25,21,25,1.0
Shooting,"Shooting Women's Air Rifle, 10 metres",1996,49,30,49,1.0
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1968,15,15,15,1.0
Athletics,Athletics Men's 800 metres,1920,40,17,40,1.0
Synchronized Swimming,Synchronized Swimming Women's Team,2004,69,8,69,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",2016,47,31,47,1.0
Swimming,Swimming Men's 400 metres Freestyle,2008,36,26,36,1.0
Alpine Skiing,Alpine Skiing Men's Combined,1992,66,27,66,1.0
Alpine Skiing,Alpine Skiing Women's Downhill,1952,42,13,42,1.0
Boxing,Boxing Men's Light-Middleweight,1988,36,35,36,1.0
Weightlifting,Weightlifting Women's Middleweight,2016,14,14,14,1.0
Alpine Skiing,Alpine Skiing Men's Downhill,1998,43,18,43,1.0
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,1968,34,10,34,1.0
Wrestling,"Wrestling Men's Bantamweight, Freestyle",1952,20,20,20,1.0
Rowing,Rowing Men's Coxed Pairs,1992,49,16,49,1.0
Boxing,Boxing Men's Flyweight,1932,12,12,12,1.0
Modern Pentathlon,Modern Pentathlon Men's Team,1972,57,19,57,1.0
Athletics,"Athletics Women's 1,500 metres",2016,41,24,41,1.0
Speed Skating,"Speed Skating Men's 1,500 metres",1988,40,19,40,1.0
Wrestling,"Wrestling Men's Heavyweight, Freestyle",1976,15,14,15,1.0
Curling,Curling Men's Curling,1998,40,8,40,1.0
Tennis,Tennis Men's Singles,1900,13,3,13,1.0
Rowing,Rowing Men's Coxless Fours,2008,55,13,55,1.0
Rowing,Rowing Women's Double Sculls,1980,14,7,14,1.0
Athletics,"Athletics Men's 3,000 metres Steeplechase",2016,45,25,45,1.0
Athletics,Athletics Men's Long Jump,1992,50,37,50,1.0
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2006,72,29,72,1.0
Cycling,"Cycling Men's Road Race, Team",1956,79,20,79,1.0
Fencing,"Fencing Men's epee, Team",1924,89,16,89,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1924,60,15,60,1.0
Water Polo,Water Polo Men's Water Polo,1952,191,21,191,1.0
Judo,Judo Men's Lightweight,1976,27,27,27,1.0
Swimming,Swimming Women's 200 metres Breaststroke,1956,14,10,14,1.0
Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",1994,58,19,58,1.0
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",1984,8,8,8,1.0
Swimming,Swimming Men's 4 x 100 metres Medley Relay,1968,80,17,80,1.0
Art Competitions,Art Competitions Mixed Architecture,1912,10,6,10,1.0
Athletics,Athletics Men's 400 metres,1988,75,55,75,1.0
Gymnastics,Gymnastics Women's Uneven Bars,1976,86,17,86,1.0
Swimming,Swimming Men's 200 metres Butterfly,1992,46,32,46,1.0
Swimming,Swimming Men's 200 metres Freestyle,2004,59,53,59,1.0
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,1968,60,14,60,1.0
Diving,Diving Men's Springboard,1956,24,13,24,1.0
Athletics,Athletics Women's 4 x 400 metres Relay,2008,69,16,69,1.0
Speed Skating,Speed Skating Men's 500 metres,1968,48,17,48,1.0
Fencing,"Fencing Women's Foil, Individual",2012,38,19,38,1.0
Snowboarding,Snowboarding Women's Boardercross,2006,23,14,23,1.0
Athletics,Athletics Men's Marathon,1960,69,35,69,1.0
Biathlon,Biathlon Women's 15 kilometres,2002,71,26,71,1.0
Canoeing,"Canoeing Women's Kayak Fours, 500 metres",2004,40,10,40,1.0
Speed Skating,Speed Skating Men's 500 metres,1998,42,16,42,1.0
Fencing,"Fencing Women's Foil, Individual",1956,23,11,23,1.0
Luge,Luge Men's Singles,1994,33,18,33,1.0
Swimming,Swimming Women's 200 metres Freestyle,1976,40,21,40,1.0
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,1992,42,23,42,1.0
Sailing,Sailing Mixed Two Person Keelboat,1932,14,7,14,1.0
Sailing,Sailing Mixed Two Person Keelboat,1968,40,19,40,1.0
Gymnastics,Gymnastics Men's Parallel Bars,1980,65,14,65,1.0
Wrestling,"Wrestling Men's Featherweight, Freestyle",1956,13,13,13,1.0
Rowing,Rowing Men's Single Sculls,1996,21,21,21,1.0
Athletics,Athletics Women's 4 x 100 metres Relay,2012,69,16,69,1.0
Luge,Luge Mixed (Men)'s Doubles,1992,40,15,40,1.0
Boxing,Boxing Men's Bantamweight,1968,39,38,39,1.0
Luge,Luge Women's Singles,1992,24,12,24,1.0
Swimming,Swimming Women's 4 x 100 metres Medley Relay,1984,56,12,56,1.0
Swimming,Swimming Men's 100 metres Breaststroke,2004,60,54,60,1.0
Rowing,Rowing Men's Coxed Eights,1992,126,14,126,1.0
Nordic Combined,Nordic Combined Men's Individual,1948,39,13,39,1.0
Rowing,Rowing Men's Coxed Pairs,1980,33,11,33,1.0
Swimming,Swimming Women's 800 metres Freestyle,2016,27,19,27,1.0
Canoeing,"Canoeing Men's Canadian Singles, Slalom",2012,17,17,17,1.0
Shooting,Shooting Mixed Trap,1972,57,33,57,1.0
Swimming,Swimming Men's Underwater Swimming,1900,14,4,14,1.0
Sailing,Sailing Mixed Two Person Keelboat,1984,38,19,38,1.0
Athletics,Athletics Men's 200 metres,1936,44,22,44,1.0
Gymnastics,Gymnastics Women's Individual All-Around,1984,65,16,65,1.0
Athletics,Athletics Women's Long Jump,1956,19,11,19,1.0
Athletics,Athletics Men's 200 metres,1976,45,33,45,1.0
Weightlifting,Weightlifting Men's Middleweight,1952,21,20,21,1.0
Nordic Combined,Nordic Combined Men's Individual,1988,43,12,43,1.0
Weightlifting,Weightlifting Men's Bantamweight,1976,24,19,24,1.0
Speed Skating,Speed Skating Men's 500 metres,1936,36,14,36,1.0
Table Tennis,Table Tennis Women's Doubles,1988,30,14,30,1.0
Fencing,"Fencing Men's epee, Individual",1964,65,25,65,1.0
Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",1984,20,10,20,1.0
Shooting,"Shooting Women's Sporting Pistol, 25 metres",1984,30,21,30,1.0
Water Polo,Water Polo Men's Water Polo,1948,156,18,156,1.0
Athletics,Athletics Women's Discus Throw,1952,20,16,20,1.0
Tennis,Tennis Women's Singles,2012,64,33,64,1.0
Gymnastics,Gymnastics Men's Horse Vault,1956,63,18,63,1.0
Canoeing,"Canoeing Men's Canadian Doubles, Slalom",1972,40,8,40,1.0
Cycling,Cycling Men's Points Race,1992,38,38,38,1.0
Swimming,Swimming Women's 100 metres Butterfly,1956,12,8,12,1.0
Swimming,Swimming Women's 200 metres Backstroke,1972,37,19,37,1.0
Rowing,Rowing Men's Coxless Fours,1932,20,5,20,1.0
