sport,event,year,num_athletes,num_countries,medals_awarded,medal_rate
Athletics,Athletics Women's Long Jump,2004,39,28,39,1.0
Wrestling,"Wrestling Men's Flyweight, Freestyle",1952,16,16,16,1.0
Athletics,Athletics Men's Marathon,1906,53,15,53,1.0
Shooting,Shooting Women's Trap,2012,22,21,22,1.0
Water Polo,Water Polo Men's Water Polo,1968,162,14,162,1.0
Gymnastics,Gymnastics Women's Team All-Around,1936,64,8,64,1.0
Canoeing,"Canoeing Men's Kayak Singles, 500 metres",2008,29,29,29,1.0
Athletics,"Athletics Men's 5,000 metres",1952,45,24,45,1.0
Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,1998,65,24,65,1.0
Table Tennis,Table Tennis Women's Team,2008,48,15,48,1.0
Shooting,"Shooting Women's Air Pistol, 10 metres",1996,41,26,41,1.0
Athletics,Athletics Men's 100 metres,1906,42,13,42,1.0
Athletics,Athletics Men's 50 kilometres Walk,1964,34,19,34,1.0
Athletics,Athletics Women's Hammer Throw,2008,50,30,50,1.0
Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",2014,30,12,30,1.0
Cycling,Cycling Men's Sprint,1948,23,23,23,1.0
Boxing,Boxing Men's Light-Flyweight,2016,22,22,22,1.0
Athletics,Athletics Women's Triple Jump,2004,33,24,33,1.0
Swimming,Swimming Women's 4 x 100 metres Medley Relay,1996,103,24,103,1.0
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,1908,24,6,24,1.0
Rowing,Rowing Men's Coxed Fours,1924,51,10,51,1.0
Alpine Skiing,Alpine Skiing Women's Downhill,1998,39,16,39,1.0
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2010,44,22,44,1.0
Rowing,Rowing Men's Coxless Pairs,1960,36,18,36,1.0
Wrestling,"Wrestling Men's Bantamweight, Freestyle",2000,19,19,19,1.0
Wrestling,"Wrestling Men's Bantamweight, Freestyle",1988,25,25,25,1.0
Athletics,Athletics Men's 400 metres,1896,7,4,7,1.0
Sailing,Sailing Women's Three Person Keelboat,2004,48,16,48,1.0
Athletics,Athletics Men's 800 metres,1928,49,24,49,1.0
Athletics,Athletics Men's 200 metres,1932,25,13,25,1.0
Speed Skating,"Speed Skating Men's 1,500 metres",1968,53,18,53,1.0
Judo,Judo Men's Half-Heavyweight,1992,34,34,34,1.0
Weightlifting,Weightlifting Men's Lightweight,2000,17,14,17,1.0
Bobsleigh,Bobsleigh Men's Four,1994,121,21,121,1.0
Athletics,Athletics Men's 400 metres,2000,68,44,68,1.0
Diving,Diving Men's Platform,2000,42,28,42,1.0
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014,57,23,57,1.0
Boxing,Boxing Men's Light-Middleweight,1952,23,22,23,1.0
Equestrianism,"Equestrianism Men's Three-Day Event, Team",1936,42,14,42,1.0
Athletics,Athletics Men's Discus Throw,1908,42,11,42,1.0
Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",1956,35,22,35,1.0
Wrestling,"Wrestling Men's Flyweight, Freestyle",1976,19,19,19,1.0
Nordic Combined,Nordic Combined Men's Individual,1992,45,12,45,1.0
Cycling,"Cycling Women's Road Race, Individual",2000,57,23,57,1.0
Cycling,Cycling Women's Team Sprint,2012,20,10,20,1.0
Figure Skating,Figure Skating Men's Singles,1976,20,12,20,1.0
Shooting,Shooting Mixed Skeet,1980,46,25,46,1.0
Rowing,Rowing Men's Quadruple Sculls,2004,52,13,52,1.0
Athletics,Athletics Women's Discus Throw,1968,16,8,16,1.0
Athletics,Athletics Men's Shot Put,1912,22,14,22,1.0
Boxing,Boxing Men's Featherweight,1936,24,24,24,1.0
Weightlifting,Weightlifting Men's Light-Heavyweight,1956,10,9,10,1.0
Athletics,Athletics Men's Pole Vault,1936,30,21,30,1.0
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2008,73,16,73,1.0
Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",1956,12,12,12,1.0
Swimming,Swimming Women's 100 metres Backstroke,1960,30,19,30,1.0
Freestyle Skiing,Freestyle Skiing Men's Moguls,1994,29,16,29,1.0
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",1980,22,11,22,1.0
Swimming,Swimming Men's 100 metres Breaststroke,1972,44,29,44,1.0
Athletics,Athletics Women's Javelin Throw,1932,8,4,8,1.0
Athletics,"Athletics Men's 5,000 metres",2000,36,23,36,1.0
Archery,Archery Men's Individual,2008,64,37,64,1.0
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1992,52,13,52,1.0
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",1984,48,15,48,1.0
Alpine Skiing,Alpine Skiing Women's Slalom,1948,28,10,28,1.0
Athletics,Athletics Men's 800 metres,2016,57,39,57,1.0
Athletics,Athletics Men's 4 x 400 metres Relay,2016,68,16,68,1.0
Rowing,Rowing Men's Coxed Pairs,1952,45,15,45,1.0
Ice Hockey,Ice Hockey Men's Ice Hockey,2010,260,12,260,1.0
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014,64,16,64,1.0
Athletics,Athletics Women's Javelin Throw,2008,54,40,54,1.0
Rowing,Rowing Men's Coxed Eights,1968,113,11,113,1.0
Hockey,Hockey Men's Hockey,1996,192,12,192,1.0
Alpine Skiing,Alpine Skiing Women's Downhill,1988,35,14,35,1.0
Swimming,Swimming Men's 50 yard Freestyle,1904,6,2,6,1.0
Football,Football Men's Football,2004,259,16,259,1.0
Fencing,"Fencing Men's epee, Team",1912,59,11,59,1.0
Bobsleigh,Bobsleigh Men's Four,2014,124,19,124,1.0
Swimming,Swimming Women's 400 metres Freestyle,2004,38,31,38,1.0
Athletics,Athletics Men's 110 metres Hurdles,2000,44,31,44,1.0
Gymnastics,Gymnastics Women's Uneven Bars,1956,65,15,65,1.0
Lacrosse,Lacrosse Men's Lacrosse,1904,36,2,36,1.0
Diving,Diving Women's Springboard,1920,4,1,4,1.0
Swimming,Swimming Women's 200 metres Freestyle,2004,41,35,41,1.0
Athletics,Athletics Men's Marathon,1980,74,40,74,1.0
Athletics,Athletics Men's High Jump,1968,39,25,39,1.0
Rowing,Rowing Men's Coxed Eights,2012,72,8,72,1.0
Shooting,"Shooting Men's Running Target, Single And Double Shot",1956,11,6,11,1.0
Boxing,Boxing Men's Lightweight,1904,8,1,8,1.0
Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,1932,42,11,42,1.0
Curling,Curling Men's Curling,2006,45,10,45,1.0
Wrestling,"Wrestling Men's Middleweight, Greco-Roman",1908,21,9,21,1.0
Fencing,"Fencing Men's Foil, Individual",1992,59,24,59,1.0
Judo,Judo Women's Lightweight,2004,23,23,23,1.0
Gymnastics,Gymnastics Men's Horse Vault,1896,15,4,15,1.0
Athletics,Athletics Women's Pentathlon,1964,20,15,20,1.0
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",1976,19,18,19,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1932,26,9,26,1.0
Cycling,Cycling Men's Sprint,1932,9,9,9,1.0
Beach Volleyball,Beach Volleyball Men's Beach Volleyball,2004,48,17,48,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1984,85,20,85,1.0
Football,Football Men's Football,2000,267,16,267,1.0
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",2004,75,23,75,1.0
Weightlifting,Weightlifting Women's Heavyweight,2004,16,15,16,1.0
Cycling,Cycling Men's 100 kilometres Team Time Trial,1968,120,29,120,1.0
Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",1968,56,33,56,1.0
Archery,Archery Men's Team,2016,36,12,36,1.0
Water Polo,Water Polo Men's Water Polo,1980,132,12,132,1.0
Gymnastics,Gymnastics Men's Horse Vault,1980,64,14,64,1.0
Biathlon,Biathlon Men's 20 kilometres,2006,88,34,88,1.0
Weightlifting,Weightlifting Men's Lightweight,1936,16,12,16,1.0
Swimming,Swimming Women's 100 metres Freestyle,1996,48,44,48,1.0
Biathlon,Biathlon Men's 10 kilometres Sprint,2002,87,34,87,1.0
Boxing,Boxing Men's Bantamweight,1980,33,33,33,1.0
Military Ski Patrol,Military Ski Patrol Men's Military Ski Patrol,1924,24,6,24,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1956,44,27,44,1.0
Athletics,Athletics Men's Standing High Jump,1912,17,9,17,1.0
Diving,Diving Women's Synchronized Springboard,2008,16,8,16,1.0
Gymnastics,"Gymnastics Men's Parallel Bars, Teams",1896,12,2,12,1.0
Gymnastics,Gymnastics Women's Balance Beam,1996,96,28,96,1.0
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1980,32,8,32,1.0
Swimming,Swimming Men's 50 metres Freestyle,1992,75,51,75,1.0
Gymnastics,Gymnastics Women's Floor Exercise,1976,86,17,86,1.0
Volleyball,Volleyball Men's Volleyball,1976,120,10,120,1.0
Fencing,"Fencing Men's Sabre, Individual",1936,71,26,71,1.0
Ice Hockey,Ice Hockey Men's Ice Hockey,1964,270,16,270,1.0
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1984,20,20,20,1.0
Athletics,Athletics Women's Heptathlon,1984,23,13,23,1.0
Rowing,Rowing Men's Coxed Eights,1900,44,5,44,1.0
Gymnastics,Gymnastics Men's Horizontal Bar,1932,12,6,12,1.0
Gymnastics,Gymnastics Men's Parallel Bars,2012,71,33,71,1.0
Athletics,Athletics Men's 400 metres Hurdles,1952,40,24,40,1.0
Shooting,"Shooting Women's Air Pistol, 10 metres",2016,44,33,44,1.0
Equestrianism,"Equestrianism Men's Jumping, Team",1936,54,18,54,1.0
Cycling,Cycling Women's Sprint,2008,12,11,12,1.0
Judo,Judo Women's Lightweight,2016,23,23,23,1.0
Speed Skating,Speed Skating Women's 500 metres,1984,33,15,33,1.0
Sailing,Sailing Women's One Person Dinghy,2004,25,25,25,1.0
